,MUNICNAME,lat,long
96,Local Municipality of Madibeng Local Municipality,-25.43586008656304,27.739384267434037
97,Lukanji Local Municipality,-32.090946704001446,26.944957988729954
98,Mafikeng Local Municipality,-25.884918956236078,25.677924409416157
99,Mafube Local Municipality,-27.269640781263895,28.607794435250998
100,Magareng Local Municipality,-28.168629365974127,24.780265383145185
101,Makana Local Municipality,-33.23516456383724,26.40826143348781
102,Makhado Local Municipality,-23.017586325143082,29.79837595436236
103,Makhuduthamaga Local Municipality,-24.72215886530363,29.772070530949822
104,Maletswai Local Municipality,-31.00636293162189,26.88815230050918
105,Maluti a Phofung Local Municipality,-28.332211824315106,29.025155447118067
106,Mamusa Local Municipality,-27.22307748001636,25.277062610955795
107,Mandeni Local Municipality,-29.123898102051182,31.467602406701204
108,Mangaung Metropolitan Municipality,-29.15627440987984,26.351164439969708
109,Mantsopa Local Municipality,-29.135212154732212,27.217597861072313
110,Maphumulo Local Municipality,-29.111125793646476,31.061676575865445
111,Maquassi Hills Local Municipality,-27.238618361432675,26.0360615923129
112,Maruleng Local Municipality,-24.310433812144186,30.813264125897245
113,Masilonyana Local Municipality,-28.634823850213323,26.60273166022803
114,Matatiele Local Municipality,-30.346800314394265,28.7995768050462
115,Matjhabeng Local Municipality,-28.00781166103407,26.8886235993122
116,Matzikama Local Municipality,-31.255840123735723,18.499074499585472
117,Mbhashe Local Municipality,-32.12348819327923,28.579984324753053
118,Mbizana Local Municipality,-30.948999338311108,29.845940011806366
119,Mbombela Local Municipality,-25.330213550131365,31.127596997300845
120,Merafong City Local Municipality,-26.416916316261116,27.39947301236313
121,Metsimaholo Local Municipality,-26.92913262637174,28.043759144225543
122,Mfolozi Local Municipality,-28.552301668782547,32.100715494169926
123,Mhlontlo Local Municipality,-31.206110724162247,28.782013210016597
124,Midvaal Local Municipality,-26.623049056943888,28.129224294748177
125,Mier Local Municipality,-26.455546476178586,20.367367920736914
126,Mkhambathini Local Municipality,-29.853249411526594,30.553959668320108
127,Mkhondo Local Municipality,-26.992810436610526,30.704664805355435
128,Mnquma Local Municipality,-32.3452216572967,28.169102421424633
129,Modimolle Local Municipality,-24.446508391459485,28.184040377310534
130,Mogalakwena Local Municipality,-23.8463337198245,28.69277010513109
