,PROVINCE,lat,long
0,Eastern Cape,-32.15402738714081,26.446360588944263
1,Free State,-28.614403233544756,26.867264206876172
2,Gauteng,-26.106146915357538,28.125778985735053
3,KwaZulu-Natal,-28.716584926698236,30.748558807048386
4,Limpopo,-23.78533524998162,29.28976317227128
5,Mpumalanga,-25.87365146021333,30.2989842253864
6,North West,-26.26813548676614,25.519648075343163
7,Northern Cape,-29.453405277009725,21.402809159213277
8,Western Cape,-33.01454785200947,20.61603792928221
